species_category,page_url,table_index,row_index,document_name,document_author,document_year,table_caption,Chemical,Endpoint Value,Endpoint Description,Sex,Life Cycle Stage,Sample Size,Location,Type,California Counties,Countries,page_number,Exposure Endpoint Type,Units,Condition,Error,Age-Specific,Lab,parsed_document_title,parsed_authors,parsed_issue,parsed_volume,parsed_year,parsed_journal
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations.Author(s)Sparling, D.W. and Fellers, G.M.Issue8Volume28",ENDOSULFAN,Decreased,Snout-vent length,B,Tadpole,18/treatment,Eggs from Soda Creek,Toxicity Factor Datasets,Lake,USA,1,,,,,,,"Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations","Sparling, D.W., Fellers, G.M.",8,28,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,1,1,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations.Author(s)Sparling, D.W. and Fellers, G.M.Issue8Volume28",CHLORPYRIFOS,Increased,Time to metamorphosis,B,Tadpole,18/treatment,Eggs from Soda Creek,Toxicity Factor Datasets,Lake,USA,1,,,,,,,"Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations","Sparling, D.W., Fellers, G.M.",8,28,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,2,2,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations.Author(s)Sparling, D.W. and Fellers, G.M.Issue8Volume28",ENDOSULFAN,No effect,Time to metamorphosis,B,Tadpole,18/treatment,Eggs from Soda Creek,Toxicity Factor Datasets,Lake,USA,1,,,,,,,"Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations","Sparling, D.W., Fellers, G.M.",8,28,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,3,3,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations.Author(s)Sparling, D.W. and Fellers, G.M.Issue8Volume28",CHLORPYRIFOS,Decreased,Cholinesterase activity,B,Tadpole,18/treatment,Eggs from Soda Creek,Toxicity Factor Datasets,Lake,USA,1,,,,,,,"Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations","Sparling, D.W., Fellers, G.M.",8,28,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,4,4,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations.Author(s)Sparling, D.W. and Fellers, G.M.Issue8Volume28",ENDOSULFAN,Decreased,Cholinesterase activity,B,Tadpole,18/treatment,Eggs from Soda Creek,Toxicity Factor Datasets,Lake,USA,1,,,,,,,"Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations","Sparling, D.W., Fellers, G.M.",8,28,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,5,5,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations.Author(s)Sparling, D.W. and Fellers, G.M.Issue8Volume28",ENDOSULFAN,Logistic: 0.233 ug/L; SK: 0.55 ug/L,LC50,B,Tadpole,18/treatment,Eggs from Soda Creek,Toxicity Factor Datasets,Lake,USA,1,,,,,,,"Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations","Sparling, D.W., Fellers, G.M.",8,28,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,6,6,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations.Author(s)Sparling, D.W. and Fellers, G.M.Issue8Volume28",CHLORPYRIFOS,No effect 0-14 d; various by 54 d; see size by exposure in Table 2,Body mass,B,Tadpole,18/treatment,Eggs from Soda Creek,Toxicity Factor Datasets,Lake,USA,1,,,,,,,"Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations","Sparling, D.W., Fellers, G.M.",8,28,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,7,7,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations.Author(s)Sparling, D.W. and Fellers, G.M.Issue8Volume28",ENDOSULFAN,Decreased,Body mass,B,Tadpole,18/treatment,Eggs from Soda Creek,Toxicity Factor Datasets,Lake,USA,1,,,,,,,"Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations","Sparling, D.W., Fellers, G.M.",8,28,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,8,8,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations.Author(s)Sparling, D.W. and Fellers, G.M.Issue8Volume28",CHLORPYRIFOS,No effect 0-14 d; decrease by 34 d; see size by exposure in Table 2,Snout-vent length,B,Tadpole,18/treatment,Eggs from Soda Creek,Toxicity Factor Datasets,Lake,USA,1,,,,,,,"Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations","Sparling, D.W., Fellers, G.M.",8,28,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,9,9,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations.Author(s)Sparling, D.W. and Fellers, G.M.Issue8Volume28",CHLORPYRIFOS,Logistic: 108.7 ug/L; SK: 66.5 ug/L,LC50,B,Tadpole,18/treatment,Eggs from Soda Creek,Toxicity Factor Datasets,Lake,USA,1,,,,,,,"Toxicity of two insecticides to California, USA, anurans and its relevance to declining amphibian populations","Sparling, D.W., Fellers, G.M.",8,28,,
