species_category,page_url,table_index,row_index,document_name,document_author,document_year,table_caption,Chemical,Endpoint Value,Endpoint Description,Sex,Life Cycle Stage,Sample Size,Location,Type,California Counties,Countries,page_number,Exposure Endpoint Type,Units,Condition,Error,Age-Specific,Lab,parsed_document_title,parsed_authors,parsed_issue,parsed_volume,parsed_year,parsed_journal
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Variation in thermal niche of a declining river‐breeding frog: From counter‐gradient responses to population distribution patterns.Author(s)Catenazzi, A. and Kupferberg, S.J.Issue7Volume62",,3,Growth rate to front limb emergence per degree C increase,,Tadpole,,,Exposure Factor Datasets,,USA,1,Growth Rate,mg/d,,,,,Variation in thermal niche of a declining river‐breeding frog: From counter‐gradient responses to population distribution patterns,"Catenazzi, A., Kupferberg, S.J.",7,62,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,1,1,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Variation in thermal niche of a declining river‐breeding frog: From counter‐gradient responses to population distribution patterns.Author(s)Catenazzi, A. and Kupferberg, S.J.Issue7Volume62",,0.02,Growth rate to front limb emergence per degree C increase,,Tadpole,,,Exposure Factor Datasets,,USA,1,Growth Rate,mm/d,,,,,Variation in thermal niche of a declining river‐breeding frog: From counter‐gradient responses to population distribution patterns,"Catenazzi, A., Kupferberg, S.J.",7,62,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Water velocity tolerance in tadpoles of the foothill yellow-legged frog (Rana boylii): swimming performance, growth, and survival.Author(s)Kupferberg, S.J., Lind, A.J., Thill, V. and Yarnell, S.M.Issue1Volume2011",,See Figure 5A,Proportional hatchling survival by stream velocity,B,Embryo,,,Exposure Factor Datasets,,USA,1,Hatching Success,,,,,,"Water velocity tolerance in tadpoles of the foothill yellow-legged frog (Rana boylii): swimming performance, growth, and survival","Kupferberg, S.J., Lind, A.J., Thill, V., Yarnell, S.M.",1,2011,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Transferability of habitat suitability criteria for a stream breeding frog (Rana boylii) in the Sierra Nevada, California.Author(s)Bondi, C.A., Yarnell, S.M., Lind, A.J. and Lind, A.Issue1Volume8",,12-May,Start time of egg mass deposition,,Embryo,,North Fork Feather River,Exposure Factor Datasets,,USA,1,Time of Mating/ Laying,,,,,,"Transferability of habitat suitability criteria for a stream breeding frog (Rana boylii) in the Sierra Nevada, California","Bondi, C.A., Yarnell, S.M., Lind, A.J., Lind, A.",1,8,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,1,1,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Transferability of habitat suitability criteria for a stream breeding frog (Rana boylii) in the Sierra Nevada, California.Author(s)Bondi, C.A., Yarnell, S.M., Lind, A.J. and Lind, A.Issue1Volume8",,24-Jun,Start time of egg mass deposition,,Embryo,,South Form American River,Exposure Factor Datasets,,USA,1,Time of Mating/ Laying,,,,,,"Transferability of habitat suitability criteria for a stream breeding frog (Rana boylii) in the Sierra Nevada, California","Bondi, C.A., Yarnell, S.M., Lind, A.J., Lind, A.",1,8,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,2,2,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Transferability of habitat suitability criteria for a stream breeding frog (Rana boylii) in the Sierra Nevada, California.Author(s)Bondi, C.A., Yarnell, S.M., Lind, A.J. and Lind, A.Issue1Volume8",,See citation Figure 2,Start time of egg mass deposition,,Embryo,,8 rivers across northern Sierra Nevada,Exposure Factor Datasets,,USA,1,Time of Mating/ Laying,,,,,,"Transferability of habitat suitability criteria for a stream breeding frog (Rana boylii) in the Sierra Nevada, California","Bondi, C.A., Yarnell, S.M., Lind, A.J., Lind, A.",1,8,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Rana Boylii (Foothill Yellow-Legged Frog). Reproduction.Author(s)Bourque, R.M., Bettaso, J.B.Issue4Volume42",,20,,M,Adult,1,South Santiam River,Exposure Factor Datasets,,USA,1,Body Weight - Mean,g,Breeding,,,,Rana Boylii (Foothill Yellow-Legged Frog). Reproduction,"Bourque, R.M., Bettaso, J.B.",4,42,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,1,1,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Rana Boylii (Foothill Yellow-Legged Frog). Reproduction.Author(s)Bourque, R.M., Bettaso, J.B.Issue4Volume42",,13.2,,M,Adult,1,South Santiam River,Exposure Factor Datasets,,USA,1,Body Weight - Mean,g,Breeding,,,,Rana Boylii (Foothill Yellow-Legged Frog). Reproduction,"Bourque, R.M., Bettaso, J.B.",4,42,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,2,2,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Rana Boylii (Foothill Yellow-Legged Frog). Reproduction.Author(s)Bourque, R.M., Bettaso, J.B.Issue4Volume42",,53,Snout-vent length,M,Adult,1,South Santiam River,Exposure Factor Datasets,,USA,1,Body length,mm,Breeding,,,,Rana Boylii (Foothill Yellow-Legged Frog). Reproduction,"Bourque, R.M., Bettaso, J.B.",4,42,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,3,3,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Rana Boylii (Foothill Yellow-Legged Frog). Reproduction.Author(s)Bourque, R.M., Bettaso, J.B.Issue4Volume42",,74.4,Snout-vent length,F,Adult,1,South Santiam River,Exposure Factor Datasets,,USA,1,Body length,mm,Breeding,,,,Rana Boylii (Foothill Yellow-Legged Frog). Reproduction,"Bourque, R.M., Bettaso, J.B.",4,42,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,4,4,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Rana Boylii (Foothill Yellow-Legged Frog). Reproduction.Author(s)Bourque, R.M., Bettaso, J.B.Issue4Volume42",,12.8,,M,Adult,1,South Santiam River,Exposure Factor Datasets,,USA,1,Body Weight - Mean,g,Breeding,,,,Rana Boylii (Foothill Yellow-Legged Frog). Reproduction,"Bourque, R.M., Bettaso, J.B.",4,42,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,5,5,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Rana Boylii (Foothill Yellow-Legged Frog). Reproduction.Author(s)Bourque, R.M., Bettaso, J.B.Issue4Volume42",,35.5,,F,Adult,1,South Santiam River,Exposure Factor Datasets,,USA,1,Body Weight - Mean,g,Breeding,,,,Rana Boylii (Foothill Yellow-Legged Frog). Reproduction,"Bourque, R.M., Bettaso, J.B.",4,42,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,6,6,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Rana Boylii (Foothill Yellow-Legged Frog). Reproduction.Author(s)Bourque, R.M., Bettaso, J.B.Issue4Volume42",,54,Snout-vent length,M,Adult,1,South Santiam River,Exposure Factor Datasets,,USA,1,Body length,mm,Breeding,,,,Rana Boylii (Foothill Yellow-Legged Frog). Reproduction,"Bourque, R.M., Bettaso, J.B.",4,42,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,7,7,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Rana Boylii (Foothill Yellow-Legged Frog). Reproduction.Author(s)Bourque, R.M., Bettaso, J.B.Issue4Volume42",,67.5,,M,Adult,1,South Santiam River,Exposure Factor Datasets,,USA,1,Body Weight - Mean,g,Breeding,,,,Rana Boylii (Foothill Yellow-Legged Frog). Reproduction,"Bourque, R.M., Bettaso, J.B.",4,42,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Rana Boylii (Foothill Yellow-Legged Frog). Upland movement.Author(s)Cook, D.G., White, E., White, P., White, S.Issue2Volume43",,71.3,Distance from creek,B,Both Adults and Juveniles,,"Sulphur Creek, Ukiah",Exposure Factor Datasets,Mendocino,USA,1,Foraging Distance,m,,,,,Rana Boylii (Foothill Yellow-Legged Frog). Upland movement,"Cook, D.G., White, E., White, P., White, S.",2,43,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Rana boylii.Author(s)Zweifel, R.G.",,56,Snout-vent length,M,Adult,Not reported,,Exposure Factor Datasets,El Dorado,USA,1,Body length,mm,Museum specimens,,,,Rana boylii,"Zweifel, R.G.",,,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,1,1,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Rana boylii.Author(s)Zweifel, R.G.",,73,Snout-vent length,F,Adult,Not reported,,Exposure Factor Datasets,El Dorado,USA,1,Body length,mm,Museum specimens,,,,Rana boylii,"Zweifel, R.G.",,,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Persistence and stability of the component helminth community of the foothill yellow-legged frog, Rana boylii (Ranidae), from Humboldt County, California, 1964–1965, versus 2004–2007.Author(s)Bursey, C.R., Goldberg, S.R. and Bettaso, J.B.Issue2Volume163",,45.2,Snout-vent length,B,Not Reported,,,Exposure Factor Datasets,Humboldt,USA,1,Body Weight - Mean,mm,,9.5,,,"Persistence and stability of the component helminth community of the foothill yellow-legged frog, Rana boylii (Ranidae), from Humboldt County, California, 1964–1965, versus 2004–2007","Bursey, C.R., Goldberg, S.R., Bettaso, J.B.",2,163,1964,
